itemid,one-liner,year
001-202524,"['9\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'Failure to provide effective remedy by which to challenge\n', 'election results and seek recount: violation\n', 'Mugemangango v. Belgium [GC], no. 310/15, 10 July 2020\n', 'Judgment | Legal summary\n']",2020
001-187540,"['HEAVIER PENALTY | RETROACTIVITY\n', 'Subsequent preventive detention of convicted murderer on basis of\n', 'psychiatric assessments that he continued to pose a danger: no violation\n', 'Ilnseher v. Germany [GC], nos. 10211/12 and 27505/14, 4.12.2018\n', 'Judgment | Legal summary\n']",2018
001-220484,"['No evidence showing a real risk of a sentence of life\n', 'imprisonment without parole in the event of the applicant’s\n', 'extradition to, and conviction in, the USA: no violation\n', 'Sanchez-Sanchez v. the United Kingdom [GC], no. 22854/20,\n', '3 November 2022\n', 'Judgment | Legal summary\n']",2022
001-233206,"['ARTICLE 34\n', 'LOCUS STANDI\n', 'VICTIM\n', 'Victim status of individual applicants and standing (locus standi)\n', 'of applicant association regarding climate-change\n', 'complaints: inadmissible in respect of individual\n', 'applicants; standing of applicant association upheld\n', 'Verein KlimaSeniorinnen Schweiz and Others v. Switzerland [GC],\n', 'no. 53600/20, 9 April 2024\n', 'Judgment | Legal summary\n']",2024
001-216179,"['ARTICLE 10\n', 'FREEDOM OF EXPRESSION\n', 'No legitimate aim for civil defamation proceedings against a media\n', 'outlet, seeking to protect “reputation” of a public authority as such\n', 'and unrelated to any economic activity: violation\n', 'OOO Memo v. Russia, no. 2840/10, 15 March 2022\n', 'Judgment | Legal summary\n']",2022
001-203699,"['ARTICLE 1 OF PROTOCOL No.\xa07\n', 'PROCEDURAL SAFEGUARDS RELATING TO EXPULSION OF ALIENS\n', 'Expulsion on national security grounds decided by court on\n', 'the basis of classified information not disclosed to applicants,\n', 'without sufficient counterbalancing safeguards: violation\n', 'Muhammad and Muhammad v. Romania [GC], no. 80982/12,\n', '15 October 2020\n', 'Judgment | Legal summary\n']",2020
001-194307,"['EFFECTIVE INVESTIGATION\n', 'Alleged failure to conduct effective investigation into road-traf-\n', 'fic accident in which an individual sustained unintentional\n', 'life-threatening injuries: Article\xa02 applicable; no violation\n', 'Nicolae Virgiliu Tănase v. Romania [GC], no.\xa041720/13, 25\xa0June 2019\n', 'Judgment | Legal summary\n']",2019
001-206582,"['TRIBUNAL ESTABLISHED BY LAW\n', 'Participation of judge whose appointment was vitiated by undue executive\n', 'discretion without effective domestic court review and redress: violation\n', 'Guðmundur Andri Ástráðsson v. Iceland [GC],\n', 'no. 26374/18, 1 December 2020\n', 'Judgment | Legal summary\n']",2020
001-220616,"['No risk of irreducible life sentence in the event of extradition to\n', 'the USA, the applicant becoming eligible for parole after\n', 'reduction of charges: inadmissible\n', 'McCallum v. Italy (dec.) [GC], no. 20863/21, 21 September 2022\n', 'Decision | Legal summary\n']",2022
001-228016,"['Newspaper publisher ordered to anonymise the online archived\n', 'version of a lawful article published twenty years earlier, on\n', 'grounds of the “right to be forgotten” of the individual\n', 'responsible for a fatal accident: no violation\n', 'Hurbain v. Belgium [GC], no. 57292/16, 4 July 2023\n', 'Judgment | Legal summary\n']",2023
001-181273,"['RESPECT FOR PRIVATE LIFE\n', 'Dismissal for using work computer to store large volume\n', 'of pornographic material: no violation\n', 'Libert v. France, no.\u202f588/13, 22.2.2018\n', 'Judgment | Legal summary\n']",2018
001-189019,"['8\u2003 \u2003 Key cases 2019\u2002 \u2002 Cases by Article\n', 'Georgia v. Russia (I) (just satisfaction) [GC], no.\u202f13255/07, 29\xa0January 2019\n', 'Judgment | Legal summary\n']",2019
001-229366,"['13\n', 'Key cases 2023\n', 'FOUR-MONTH PERIOD (FORMER SIX-MONTH)\n', 'No effective remedy available in Russia to relatives of victims of\n', 'Malaysian Airlines flight MH17: admissible\n', 'International investigation into downing of flight MH17 and use\n', 'of international-law remedies before applying to the Court\n', '(six years after the incident): application within time-limit\n', 'Ukraine and the Netherlands v. Russia (dec.) [GC], nos. 8019/16\n', 'et al., 30 November 2022\n', 'Decision | Legal summary\n']",2023
001-189426,"['4\u2003 \u2003 Key cases 2019\u2002 \u2002 Cases by Article\n', 'Cases by Article\n', 'ARTICLE\xa02\n', 'LIFE | POSITIVE OBLIGATIONS (substantive aspect)\n', 'Suicide of a mentally ill man voluntarily admitted to State psychi-\n', 'atric hospital for treatment after suicide attempt: no violation\n', 'Fernandes de Oliveira v. Portugal [GC], 78103/14, 31\xa0January 2019\n', 'Judgment | Legal summary\n']",2019
001-181821,"['Key cases 2018\u2002 \u2002 Cases by Article\u2002 \u2002 Page 5\n', 'ACCESS TO COURT\n', 'Alleged excessively formalistic interpretation of procedural\n', 'rules (ratione valoris admissibility threshold): no violation\n', 'Zubac v. Croatia [GC], no.\u202f40160/12, 5.4.2018\n', 'Judgment | Legal summary\n']",2018
001-206515,"['RESPECT FOR PRIVATE LIFE\n', 'Legal obligation on service providers to store personal data\n', 'of users of pre-paid mobile-telephone SIM-cards and make\n', 'them available to authorities upon request: no violation\n', 'Breyer v. Germany, no. 50001/12, 30 January 2020\n', 'Judgment | Legal summary\n']",2020
001-222780,"['ARTICLE 7\n', 'NULLUM CRIMEN SINE LEGE\n', 'NULLA POENA SINE LEGE\n', 'Conviction for membership of an armed terrorist organisation\n', 'based decisively on use of encrypted messaging application\n', 'ByLock, without establishing offence’s constituent material and\n', 'mental elements in an individualised manner: violation\n', 'Yüksel Yalçınkaya v. Türkiye [GC], no. 15669/20, 26 September 2023\n', 'Judgment | Legal summary\n']",2023
001-201353,"['STAND FOR ELECTION\n', 'Complaint calling for recount of ballot papers examined\n', 'by body lacking impartiality, through procedure lacking\n', 'adequate and sufficient safeguards: violation\n', 'Mugemangango v. Belgium [GC], no. 310/15, 10 July 2020\n', 'Judgment | Legal summary\n']",2020
001-224629,"['Available remedy of a preliminary ruling on constitutionality in\n', 'an ordinary appeal against a refusal to hold a public event based\n', 'on a federal ordinance banning such events at the start of the\n', 'Covid-19 pandemic: inadmissible\n', 'Communauté Genevoise d’Action Syndicale (CGAS) v. Switzerland\n', '[GC], no. 21881/20, 27 November 2023\n', 'Judgment | Legal summary\n']",2023
001-219333,"['13\n', 'Key cases 2022\n', 'ARTICLE 2 OF PROTOCOL No. 4\n', 'FREEDOM OF MOVEMENT\n', 'Danish national prohibited from entering and staying, without\n', 'permission, in areas in which a terrorist organisation is a party to\n', 'an ongoing armed conflict (the al-Raqqa district in Syria):\n', 'no violation\n', 'Mørck Jensen v. Denmark, no. 60785/19, 18 October 2022\n', 'Judgment | Legal summary\n']",2022
001-186434,"['Article\xa06 § 1 (civil | disciplinary)\n', 'CIVIL RIGHTS AND OBLIGATIONS| INDEPENDENT\n', 'AND IMPARTIAL TRIBUNAL\n', 'Method of appointing arbitrators to the Court of Arbitration\n', 'for Sport: Article 6 § 1 applicable; no violation\n', 'Mutu and Pechstein v. Switzerland, nos.\xa040575/10 and 67474/10, 2.10.2018\n', 'Judgment | Legal summary\n']",2018
001-237239,"['Article 6 § 1 (civil)\n', 'Complaint by victims of alleged offences participating in criminal\n', 'proceedings that the investigating judge’s inaction led to the\n', 'time-barring of those offences and thus to the non-adjudication\n', 'of their civil claims: no violation\n', 'Fabbri and Others v. San Marino [GC], nos. 6319/21 et al.,\n', '24 September 2024\n', 'Judgment | Legal summary\n']",2024
001-227636,"['Final domestic decision arrived at before, but notified after, entry\n', 'into force on 1 February 2022 of new time-limit under Protocol\n', 'No. 15: six-month rule applicable\n', 'Orhan v. Türkiye (dec.), no. 38358/22, 6 December 2022\n', 'Decision | Legal summary\n']",2023
001-217061,"['ARTICLE 3\n', 'EXTRADITION\n', 'No real individual risk of ill-treatment in case of extradition of\n', 'ethnic Uzbeks to Kyrgyzstan: extradition would not constitute a\n', 'violation\n', 'Khasanov and Rakhmanov v. Russia [GC], nos. 28492/15 and\n', '49975/15, 29 April 2022\n', 'Judgment | Legal summary\n']",2022
